店舗名,都道府県,エリア,サムネイル,スケジュール,公式URL,セラピスト
Queendom (クイーンダム),埼玉県,大宮,なし,なし,あり,なし
Regis (レジス),埼玉県,大宮,なし,なし,あり,なし
メンズエステ Lynx 大宮店,埼玉県,大宮,あり,なし,なし,なし
秘密のミセスルーム 南浦和,埼玉県,南浦和,あり,なし,なし,あり
むちすぱルーム 南浦和,埼玉県,南浦和,あり,なし,なし,あり
メンズエステ妻 浦和,埼玉県,浦和,なし,なし,あり,なし
オフスート (Offsuit) 旧ランクプラス,埼玉県,浦和,なし,なし,あり,なし
Regis (レジス),埼玉県,浦和,なし,なし,あり,なし
MABUI SPA (マブイスパ),埼玉県,蕨,なし,なし,あり,なし
ゆりかご 京都,滋賀県,彦根,なし,なし,あり,なし
ゆりかご 京都,滋賀県,草津,なし,なし,あり,なし
ゆりかご 京都,滋賀県,大津駅,なし,なし,あり,なし
リオラ (旧マリラ),静岡県,三島,なし,なし,あり,なし
竜宮城 旧百万石,静岡県,沼津,なし,なし,あり,なし
Mirajour (ミラジュール),shops_backup.json,,あり,なし,あり,なし
秘密のミセスルーム 北千住,東京都,北千住,あり,なし,なし,なし
マシェリ,東京都,北千住,あり,なし,なし,あり
むちすぱルーム 北千住,東京都,北千住,あり,なし,なし,あり
らんぷ 北千住,東京都,北千住,あり,なし,なし,あり
ランス (REMIS) 旧ニルス,東京都,北千住,あり,なし,なし,あり
Aroma BANKER (アロマバンカー),東京都,竹ノ塚,あり,なし,なし,あり
らんぷ 北千住,東京都,牛田,あり,なし,なし,あり
Aroma Blossom (日暮里店),東京都,日暮里,あり,なし,なし,なし
アロマジラフ 旧アロマオリオ,東京都,日暮里,あり,なし,なし,あり
be-majo (ビマージョ) 日暮里,東京都,日暮里,あり,なし,なし,あり
Deep Black (ディープブラック),東京都,日暮里,あり,なし,なし,あり
ar Tokyo (アールトウキョウ秋葉原),東京都,秋葉原,なし,なし,あり,あり
AROMA AMOUR (秋葉原店),東京都,秋葉原,なし,なし,あり,あり
Aroma Jewels 秋葉原ルーム,東京都,秋葉原,なし,なし,あり,あり
Aroma Lunabelle (アロマルナベール秋葉原),東京都,秋葉原,なし,なし,あり,あり
Aroma Maison (アロマメゾン 秋葉原店),東京都,秋葉原,なし,なし,あり,あり
Aroma Rejina 秋葉原 (アロマレジーナ),東京都,秋葉原,あり,なし,なし,あり
Assouplir (アスプリー秋葉原店),東京都,秋葉原,なし,なし,あり,あり
Hiran Next (平安NEXT),東京都,秋葉原,なし,なし,あり,あり
Luxtime (秋葉原店),東京都,秋葉原,なし,なし,あり,あり
メンズエステ Lynx 秋葉原店,東京都,秋葉原,あり,なし,なし,あり
Prispa (プリスパ),東京都,秋葉原,なし,なし,あり,あり
Rex (レックス秋葉原店),東京都,秋葉原,なし,なし,あり,あり
The Salon (ザ・サロン秋葉原店),東京都,秋葉原,なし,なし,あり,あり
Weal (ウィール秋葉原店),東京都,秋葉原,なし,なし,あり,あり
Zexterior (旧アンビエンス) 秋葉原店,東京都,秋葉原,あり,なし,なし,あり
Tokyo Aroma Este (東京アロマエステ) 飯田橋店,東京都,飯田橋,あり,なし,なし,あり
神のエステ (東京・岩本町店),東京都,岩本町,なし,なし,あり,あり
QUEEN'S COLLECTION 神保町ルーム,東京都,神保町,なし,なし,あり,あり
Chill Spa (ちるスパ),東京都,神田,なし,なし,あり,あり
神のエステ (東京・神田店),東京都,神田,なし,なし,あり,あり
Luxtime (神田店),東京都,神田,なし,なし,あり,あり
ロンド 旧下弦の月 (九段下店),東京都,九段下,なし,なし,あり,なし
四ツ谷メンズエステ E小町 四谷店,東京都,四谷,あり,なし,なし,あり
Laulima (ラウリマ),東京都,四谷,なし,なし,あり,あり
Aroma ELLA (アロマエラ 調布店),東京都,調布,なし,なし,あり,あり
Jesse (ジェシー 調布店),東京都,調布,なし,なし,あり,あり
神のエステ (調布店),東京都,調布,なし,なし,あり,あり
PLATINUM TOKYO (プラチナム東京 調布店),東京都,調布,なし,なし,あり,あり
TRENDY SPA (調布店),東京都,調布,なし,なし,あり,あり
ユニゾンスパ (調布店),東京都,調布,なし,なし,あり,あり
アルバTOKYO (銀座店),東京都,銀座,なし,なし,あり,あり
AROMA AMOUR (銀座店),東京都,銀座,なし,なし,あり,あり
Aroma Maison (アロマメゾン 銀座店),東京都,銀座,なし,なし,あり,あり
AROMA more (アロマモア),東京都,六本木,なし,なし,あり,あり
Dejavu TOKYO (デジャヴ東京) 銀座店,東京都,銀座,あり,なし,なし,あり
Ginza Rich (銀座リッチ),東京都,銀座,なし,なし,あり,あり
グランドアロマ東京 (銀座店),東京都,銀座,なし,なし,あり,なし
神のエステ 新橋・銀座新富町店 (銀座),東京都,銀座,なし,なし,あり,あり
Luxtime (銀座店),東京都,銀座,なし,なし,あり,あり
大人のやすらぎSPA (銀座店),東京都,銀座,なし,なし,あり,あり
ロンド 旧下弦の月 (銀座店),東京都,銀座,なし,なし,あり,なし
竜宮城 旧百万石 (銀座店),東京都,銀座,なし,なし,あり,あり
SALON BLANCA (サロンブランカ) 銀座店,東京都,銀座,あり,なし,なし,あり
THE★GIN (ザギン) 銀座店,東京都,銀座,なし,なし,あり,あり
THE★GIN (ザギン) 茅場町店,東京都,茅場町,なし,なし,あり,あり
Berryz Spa (ベリーズスパ),東京都,日本橋,なし,なし,あり,なし
HIGH GRANDE (ハイグランデ),東京都,日本橋,なし,なし,あり,なし
神のエステ (東京・日本橋店),東京都,日本橋,なし,なし,あり,あり
SALON BLANCA (サロンブランカ) 日本橋店,東京都,日本橋,あり,なし,なし,あり
THE★GIN (ザギン) 日本橋店,東京都,日本橋,なし,なし,あり,あり
熟れた果実,東京都,日本橋,なし,なし,あり,なし
竜宮城 旧百万石 (人形町店),東京都,人形町,なし,なし,あり,あり
THE★GIN (ザギン) 人形町店,東京都,人形町,なし,なし,あり,あり
AQUA PREMIUM (アクアプレミアム),東京都,23wards,なし,なし,あり,あり
ビコーズ (旧リオン),東京都,23wards,なし,なし,あり,あり
Candy Spa (キャンディスパ),東京都,23wards,なし,なし,あり,あり
花の雨リラクゼーション,東京都,23wards,なし,なし,あり,あり
熟女東京,東京都,23wards,なし,なし,あり,あり
Royal Spa (ロイヤルスパ) 麻布十番,東京都,23wards,なし,なし,あり,あり
ザ アロマ (The Aroma),東京都,23wards,なし,なし,あり,あり
No Brand (ノーブランド),東京都,23区外,その他,なし,なし,あり,あり
Aroma ELLA (アロマエラ 府中店),東京都,府中,なし,なし,あり,あり
神のエステ (府中店),東京都,府中,なし,なし,あり,あり
Luxury Romance GROUP (ラグジュアリーロマンスグループ),東京都,府中,なし,なし,あり,あり
シャルル (旧ディープ府中),東京都,府中,なし,なし,あり,あり
ラビットスパ (Rabbit Spa) 立川店,東京都,八王子市,なし,なし,あり,あり
RERE GROUP (リリグループ),東京都,八王子市,なし,なし,あり,あり
トキョプラ 旧T+Plus (ティープラス) 新宿,東京都,八王子市,なし,なし,あり,あり
Alice (アリス) 赤羽,東京都,,なし,なし,あり,あり
コーズィー 赤羽店 (旧ビター),東京都,,なし,なし,あり,あり
CREST SPA TOKYO (クレストスパ),東京都,,なし,なし,あり,あり
らんぷ 赤羽店,東京都,,なし,なし,あり,あり
メンズエステ Lynx 赤羽店,東京都,赤羽,なし,なし,あり,あり
よりみち (Yorimichi) (旧いごこち),東京都,,なし,なし,あり,あり
WEST TOKYO (旧結有),東京都,小金井,なし,なし,あり,あり
Aroma ELLA (アロマエラ 国分寺店),東京都,,なし,なし,あり,あり
エステ美人マダム 三鷹店,東京都,国分寺,なし,なし,あり,あり
WEST TOKYO (旧結有),東京都,,なし,なし,あり,あり
むちすぱルーム 亀戸,東京都,亀戸,なし,なし,あり,あり
ロンド 旧下弦の月 (門前仲町店),東京都,門前仲町,なし,なし,あり,あり
竜宮城 旧百万石 (門前仲町店),東京都,門前仲町,なし,なし,あり,なし
RERE GROUP (リリグループ),東京都,,なし,なし,あり,なし
東京えすてクラブ,東京都,学芸大学,なし,なし,あり,あり
doigt de fee (ドゥワドフェ),東京都,自由が丘,なし,なし,あり,あり
LIVSPA (リブスパ),東京都,自由が丘,なし,なし,あり,あり
メンエスグループ,東京都,自由が丘,なし,なし,あり,あり
DAHLIA (ダリア),東京都,目黒,なし,なし,あり,あり
Everything (エブリシング),東京都,目黒,あり,なし,あり,あり
GRACE (グレース),東京都,目黒,なし,なし,あり,あり
メンエスグループ,東京都,目黒,なし,なし,あり,あり
Organic SPA (オーガニックスパ),東京都,目黒,あり,なし,あり,あり
大人の隠れ家,東京都,目黒,あり,なし,あり,あり
体育の時間,東京都,目黒,あり,なし,あり,あり
女教師の秘め事,東京都,目黒,あり,なし,あり,あり
AQUA (アクア),東京都,中目黒,なし,なし,あり,あり
Aroma Blossom (アロマブロッサム),東京都,中目黒,あり,なし,あり,なし
GRACE (グレース),東京都,中目黒,なし,なし,あり,あり
LINDA SPA (中目黒店),東京都,中目黒,あり,なし,あり,あり
天界のスパ (中目黒店),東京都,中目黒,なし,なし,あり,あり
東京メンズエステ 目黒 池袋,東京都,都立大学,あり,なし,あり,あり
わたしのおうち,東京都,祐天寺,あり,なし,あり,あり
Dejavu TOKYO (デジャヴ東京) 赤羽橋店,東京都,赤羽橋,あり,なし,なし,あり
アルバTOKYO (赤坂店),東京都,赤坂,なし,なし,あり,あり
AROMA EMERALD (アロマエメラルド),東京都,赤坂,なし,なし,あり,なし
グランドアロマ東京 (赤坂店),東京都,赤坂,なし,なし,あり,あり
神のエステ 赤坂店,東京都,赤坂,なし,なし,あり,なし
The Salon (ザ・サロン赤坂店),東京都,赤坂,なし,なし,あり,あり
ARIA (アリア),東京都,麻布十番,なし,なし,あり,なし
Carinna (カリナ),東京都,麻布十番,なし,なし,あり,なし
Dejavu TOKYO (デジャヴ東京) 麻布十番店,東京都,麻布十番,あり,なし,なし,あり
EDEL AZABU (エデル麻布),東京都,麻布十番,なし,なし,あり,なし
AROMA EMERALD (アロマエメラルド),東京都,麻布十番,なし,なし,あり,なし
神のエステ (Kami no Esthe),東京都,麻布十番,なし,なし,あり,あり
LINDA SPA (リンダスパ),東京都,麻布十番,あり,なし,あり,あり
Aroma Lunabelle (麻布十番店),東京都,麻布十番,なし,なし,あり,あり
六本木メンズエステ,東京都,麻布十番,なし,なし,あり,なし
サウダージ (旧リセット),東京都,麻布十番,なし,なし,あり,なし
Sweet Mist (スイートミスト) 麻布十番店,東京都,麻布十番,あり,なし,なし,あり
THE ESTHE AZABU (ザ・エステアザブ),東京都,麻布十番,なし,なし,あり,なし
THE PREMIUM SPA (ザ・プレミアムスパ),東京都,麻布十番,なし,なし,あり,なし
JEAN ROBIN (ジャンロビン),東京都,浜松町,なし,なし,あり,なし
Aroma Blossom (広尾店),東京都,広尾,あり,なし,あり,あり
Aroma Blossom (港区・中目黒),東京都,,あり,なし,あり,なし
Dejavu TOKYO (デジャヴ東京) 西麻布店,東京都,西麻布,あり,なし,なし,あり
AROMA more (アロマモア),東京都,六本木,なし,なし,あり,あり
グランドアロマ東京 (六本木店),東京都,六本木,なし,なし,あり,あり
NATURAL (六本木店),東京都,六本木,六本木,なし,なし,あり,あり
六本木メンズエステ,東京都,六本木,なし,なし,あり,なし
Sweet Mist (スイートミスト) 六本木店,東京都,六本木,あり,なし,なし,あり
THE PREMIUM SPA (ザ・プレミアムスパ),東京都,六本木,なし,なし,あり,なし
Aroma Maison (アロマメゾン 新橋店),東京都,新橋,なし,なし,あり,あり
神のエステ 新橋・銀座新富町店 (新橋),東京都,新橋,なし,なし,あり,あり
ルメスパ 旧Aroma Spec (アロマスペック),東京都,新橋,なし,なし,あり,なし
Aroma Lunabelle (新橋店),東京都,新橋,なし,なし,あり,あり
Luxtime (新橋店),東京都,新橋,なし,なし,あり,あり
relax tokyo (リラックス東京),東京都,新橋,なし,なし,あり,なし
Sweet Mist (スイートミスト) 新橋店,東京都,新橋,あり,なし,なし,あり
The Salon (ザ・サロン新橋店),東京都,新橋,なし,なし,あり,あり
TIGER GATE (タイガーゲート),東京都,新橋,なし,なし,あり,なし
ULTIMATE SPA (アルティメットスパ) 新橋,東京都,新橋,あり,なし,なし,あり
アルバTOKYO (田町店),東京都,田町,なし,なし,あり,あり
Aroma Blossom (田町店),東京都,田町,あり,なし,あり,あり
DAHLIA (ダリア),東京都,田町,なし,なし,あり,あり
EDEL AZABU (エデル麻布),東京都,田町,なし,なし,あり,なし
JEAN ROBIN (ジャンロビン),東京都,田町,なし,なし,あり,なし
TIGER GATE (タイガーゲート),東京都,虎ノ門,なし,なし,あり,なし
Aroma ELLA (アロマエラ 三鷹店),東京都,三鷹,なし,なし,あり,あり
エステ美人マダム 三鷹店,東京都,三鷹,なし,なし,あり,あり
Aroma charmant (アロマシャルマント),東京都,吉祥寺,なし,なし,あり,あり
エステ美人マダム 三鷹店,東京都,吉祥寺,なし,なし,あり,あり
神のエステ 吉祥寺店,東京都,吉祥寺,なし,なし,あり,あり
よりみち (Yorimichi) (旧いごこち),東京都,吉祥寺,なし,なし,あり,あり
ゴールデン（GOLDEN） 旧ガーデン,東京都,中野区,なし,なし,あり,なし
超レベチなエステ24,東京都,中野区,なし,なし,あり,なし
RED RIBBON (レッドリボン),東京都,中野区,なし,なし,あり,あり
東京メンズエステ 中野ルーム,東京都,中野区,なし,なし,あり,なし
Aroma Modeste (アロマモデスト),東京都,練馬,なし,なし,あり,あり
アラウンドフォーティー,東京都,練馬,なし,なし,あり,あり
Cannele (カヌレ),東京都,練馬,なし,なし,あり,あり
神のエステ 練馬店,東京都,練馬,なし,なし,あり,あり
メンエスグループ,東京都,練馬,なし,なし,あり,あり
ゼニスパ,東京都,練馬,なし,なし,あり,あり
セレクト (SELECT),東京都,大泉学園,なし,なし,あり,あり
Anjuaile (アンジュエール),東京都,蒲田,なし,なし,あり,なし
doigt de fee (ドゥワドフェ),東京都,蒲田,なし,なし,あり,なし
GOKUJOU 極嬢,東京都,蒲田,なし,なし,あり,なし
Ho・O・Zu・Ki・SPA (ホオズキスパ),東京都,蒲田,なし,なし,あり,なし
小悪魔スパトウキョウ 蒲田ルーム,東京都,蒲田,なし,なし,あり,なし
LIVSPA (リブスパ),東京都,蒲田,なし,なし,あり,あり
ノクターンスパ (Nocturne Spa),東京都,蒲田,なし,なし,あり,なし
Pepe Spa (ペペスパ),東京都,蒲田,なし,なし,あり,あり
竜宮城 旧百万石 (蒲田店),東京都,蒲田,なし,なし,あり,なし
GOKUJOU 極嬢,東京都,大森,なし,なし,あり,なし
Ho・O・Zu・Ki・SPA (ホオズキスパ),東京都,大森,なし,なし,あり,なし
ノクターンスパ (Nocturne Spa),東京都,大森,なし,なし,あり,なし
RHEA SPA (レアスパ),東京都,大森,なし,なし,あり,なし
REVE SPA (レーヴスパ),東京都,千歳烏山,なし,なし,あり,あり
ユニゾンスパ (千歳烏山店),東京都,千歳烏山,なし,なし,あり,あり
WINNING HEAVEN (ウイニングヘブン),東京都,千歳烏山,なし,なし,あり,なし
Jesse (ジェシー 二子玉川店),東京都,二子玉川,なし,なし,あり,あり
メンエスグループ 二子玉川,東京都,二子玉川,あり,なし,あり,あり
メンエスグループ,東京都,二子玉川,なし,なし,あり,あり
東京えすてクラブ,東京都,駒沢大学,なし,なし,あり,なし
Eren (経堂ルーム),東京都,経堂,なし,なし,あり,あり
WINNING HEAVEN (ウイニングヘブン),東京都,経堂,なし,なし,あり,なし
明大前ANNEX (アネックス),東京都,明大前,なし,なし,あり,なし
Aroma Woo (アロマウー),東京都,明大前,なし,なし,あり,なし
ベルリリー (Belle Lily),東京都,明大前,なし,なし,あり,なし
QUEEN'S COLLECTION 明大前ルーム,東京都,明大前,なし,なし,あり,なし
REVE SPA (レーヴスパ),東京都,明大前,なし,なし,あり,あり
東京えすてクラブ,東京都,桜新町,なし,なし,あり,なし
AUTHORITY (オーソリティ),東京都,三軒茶屋,なし,なし,あり,なし
B-QINS (ビークインズ),東京都,三軒茶屋,なし,なし,あり,なし
Dejavu TOKYO (デジャヴ東京) 三軒茶屋店,東京都,三軒茶屋,あり,なし,なし,あり
LINDA SPA (三軒茶屋店),東京都,三軒茶屋,あり,なし,あり,あり
名無しスパ (旧ラリマスパ),東京都,三軒茶屋,なし,なし,あり,なし
三茶美人,東京都,三軒茶屋,なし,なし,あり,なし
ベルリリー (Belle Lily),東京都,下北沢,なし,なし,あり,なし
EREN (エレン),東京都,下北沢,なし,なし,あり,なし
Eren (下北沢ルーム),東京都,下北沢,なし,なし,あり,あり
JDスパ (女子大生エステ) 下北沢,東京都,下北沢,なし,なし,あり,なし
UraSanEsu (下北沢店),東京都,下北沢,なし,なし,あり,あり
Eren (祖師谷大蔵ルーム),東京都,祖師ヶ谷大蔵,なし,なし,あり,あり
WINNING HEAVEN (ウイニングヘブン),東京都,祖師ヶ谷大蔵,なし,なし,あり,なし
ANAICHI (アナイチ),東京都,恵比寿,あり,なし,あり,あり
AQUA (アクア),東京都,恵比寿,なし,なし,あり,なし
AQUA (アクア) 中目黒,東京都,恵比寿,あり,なし,あり,なし
Aroma Blanca (アロマブランカ),東京都,恵比寿,あり,なし,あり,あり
Aroma Blossom (恵比寿店),東京都,恵比寿,あり,なし,あり,あり
AROMA EMERALD (アロマエメラルド),東京都,恵比寿,あり,なし,あり,なし
Aroma Miely (アロマミエリー),東京都,恵比寿,あり,なし,あり,あり
AromaLys (アロマリース),東京都,恵比寿,なし,なし,あり,なし
AROMA TIAMO (アロマティアモ),東京都,恵比寿,あり,なし,あり,あり
BELLA SPA (ベラスパ),東京都,恵比寿,あり,なし,あり,なし
Belle É (ベルエ),東京都,恵比寿,あり,なし,あり,あり
Belle Lily (ベルリリィ),東京都,恵比寿,あり,なし,あり,あり
Candy Spa (キャンディスパ),東京都,恵比寿,あり,なし,あり,なし
Carinna (カリナ),東京都,恵比寿,なし,なし,あり,なし
DAHLIA (ダリア),東京都,恵比寿,なし,なし,あり,あり
AROMA EMERALD (アロマエメラルド),東京都,恵比寿,なし,なし,あり,なし
エステの王様,東京都,恵比寿,なし,なし,あり,なし
GRANMATOM (グランマトム),東京都,恵比寿,あり,なし,あり,あり
神のエステ,東京都,恵比寿,あり,なし,あり,あり
LINDA SPA (恵比寿店),東京都,恵比寿,あり,なし,あり,あり
リオラ (旧マリラ),東京都,恵比寿,なし,なし,あり,あり
Love it (ラヴィット),東京都,恵比寿,あり,なし,あり,なし
メンズエステ恵比寿,東京都,恵比寿,あり,なし,あり,なし
MINERVA (ミネルバ),東京都,恵比寿,あり,なし,あり,あり
MoMo Spa (モモスパ),東京都,恵比寿,あり,なし,あり,なし
ムーブプラス,東京都,恵比寿,あり,なし,あり,なし
NAOMI SPA (ナオミスパ),東京都,恵比寿,あり,なし,あり,あり
大人のやすらぎSPA (恵比寿店),東京都,恵比寿,なし,なし,あり,あり
ポセイドン,東京都,恵比寿,あり,なし,あり,なし
SALON BLANCA (サロンブランカ) 恵比寿店,東京都,恵比寿,あり,なし,なし,あり
サウダージ (旧リセット),東京都,恵比寿,なし,なし,あり,なし
Sweet Mist (スイートミスト) 恵比寿店,東京都,恵比寿,あり,なし,なし,あり
天界のスパ 中目黒,東京都,恵比寿,あり,なし,あり,なし
THE HALF (ザ・ハーフ),東京都,恵比寿,あり,なし,あり,あり
Vicca+plus. (ヴィッカプラス),東京都,恵比寿,あり,なし,あり,なし
HaTaEsu (ハタエス),東京都,幡ヶ谷,なし,なし,あり,なし
Silk (シルク),,,あり,あり,あり,なし
超レベチなエステ24,東京都,初台,なし,なし,あり,なし
HIGH GRANDE (ハイグランデ),東京都,表参道,なし,なし,あり,なし
QUEEN'S COLLECTION 笹塚ルーム,東京都,笹塚,なし,なし,あり,なし
REVE SPA (レーヴスパ),東京都,笹塚,なし,なし,あり,あり
サウダージ (旧リセット),東京都,笹塚,なし,なし,あり,なし
A5 SPA (エーゴスパ),東京都,渋谷,なし,なし,あり,なし
AROMA TIAMO (アロマティアーモ) 渋谷店,東京都,渋谷,なし,なし,あり,なし
ベルリリー (Belle Lily),東京都,渋谷,なし,なし,あり,なし
ONE ROOM (ワンルーム) 渋谷店,東京都,渋谷,あり,なし,なし,あり
Rise～リゼ～ 渋谷店,東京都,渋谷,なし,なし,あり,なし
SPA Real (スパレアル),東京都,渋谷,あり,なし,あり,あり
Poonys (プーニーズ),東京都,代々木・原宿,なし,なし,あり,あり
A5 SPA (エーゴスパ),東京都,代々木・原宿,なし,なし,あり,なし
Chocolate (代々木ルーム),東京都,代々木・原宿,なし,なし,あり,あり
Aroma Levante (代々木ルーム),東京都,代々木・原宿,なし,なし,あり,あり
Eren (エレン),東京都,代々木・原宿,なし,なし,あり,あり
Gloria (グロリア),東京都,代々木・原宿,原宿,なし,なし,あり,あり
極楽エステ,東京都,代々木・原宿,原宿,あり,なし,あり,あり
グランドガイア (Grand Gaia),東京都,代々木・原宿,なし,なし,あり,なし
Ho・O・Zu・Ki・SPA (ホオズキスパ),東京都,代々木・原宿,なし,なし,あり,なし
Kamino Esthe (渋谷店),東京都,代々木・原宿,なし,なし,あり,あり
LugarTOKYO (代々木店),東京都,代々木・原宿,原宿,なし,なし,あり,あり
Aroma Lunabelle (代々木店),東京都,代々木・原宿,なし,なし,あり,あり
NATURAL (代々木店),東京都,代々木・原宿,なし,なし,あり,あり
温故知新 (旧ユアタイム),東京都,代々木・原宿,原宿,なし,なし,あり,あり
オトナコード4030 (旧オトナクチュール),東京都,代々木・原宿,なし,なし,あり,あり
PLATINUM TOKYO 代々木店,東京都,代々木・原宿,あり,なし,なし,あり
六本木メンズエステ,東京都,代々木・原宿,原宿,あり,なし,あり,あり
SALON BLANCA (サロンブランカ) 代々木店,東京都,代々木・原宿,あり,なし,なし,あり
Silk (シルク),東京都,代々木・原宿,原宿,あり,なし,あり,あり
Spa Ytree (ワイツリー),東京都,代々木・原宿,原宿,あり,なし,あり,あり
Sugar Spa (シュガースパ),東京都,代々木・原宿,原宿,なし,なし,あり,あり
UraSanEsu (ウラサネス),東京都,代々木・原宿,原宿,なし,なし,あり,あり
A5 SPA (エーゴスパ),東京都,五反田,なし,なし,あり,なし
ANNA (アンナ),東京都,五反田,なし,なし,あり,あり
Aroma ABC (アロマABC),東京都,五反田,なし,なし,あり,なし
Aroma Jewels 五反田ルーム,東京都,五反田,なし,なし,あり,あり
Aroma Rejina (アロマレジーナ) 五反田,東京都,五反田,あり,なし,なし,あり
AromaLys (アロマリース),東京都,五反田,なし,なし,あり,なし
DAHLIA (ダリア),東京都,五反田,なし,なし,あり,あり
エステの王様,東京都,五反田,なし,なし,あり,なし
神のエステ,東京都,五反田,なし,なし,あり,なし
カノネコ (旧もしも彼女が黒猫だったら),東京都,五反田,なし,なし,あり,なし
小悪魔スパトウキョウ 五反田ルーム,東京都,五反田,なし,なし,あり,なし
LugarTOKYO (五反田店),東京都,五反田,なし,なし,あり,あり
Aroma Lunabelle (五反田店),東京都,五反田,なし,なし,あり,あり
Luxtime (五反田店),東京都,五反田,なし,なし,あり,あり
メンズエステ Lynx 五反田店,東京都,五反田,あり,なし,なし,あり
Rains Rapt (レインズラプト),東京都,五反田,なし,なし,あり,なし
RELAX (リラックス),東京都,五反田,なし,なし,あり,なし
RHEA SPA (レアスパ),東京都,五反田,なし,なし,あり,なし
THE HALF（ザ・ハーフ）,東京都,五反田,なし,なし,あり,なし
ゆるスパ 五反田店,東京都,五反田,あり,なし,あり,あり
Esthe Spa (エステスパ),東京都,目黒,あり,なし,あり,あり
LINDA SPA (目黒店),東京都,目黒,あり,なし,あり,あり
メンエスグループ,東京都,武蔵小山,なし,なし,あり,あり
DAHLIA (ダリア),東京都,大井町,なし,なし,あり,あり
GOKUJOU 極嬢,東京都,大井町,なし,なし,あり,なし
Ho・O・Zu・Ki・SPA (ホオズキスパ),東京都,大井町,なし,なし,あり,なし
ノクターンスパ (Nocturne Spa),東京都,大井町,なし,なし,あり,なし
RHEA SPA (レアスパ),東京都,大井町,なし,なし,あり,なし
昭和リフレッシュ館,東京都,大井町,なし,なし,あり,なし
Aroma Blossom (大崎店),東京都,大崎,あり,なし,あり,あり
ARIA (アリア),東京都,品川,なし,なし,あり,なし
エステの王様,東京都,品川,なし,なし,あり,なし
GRACE (グレース),東京都,品川,なし,なし,あり,あり
神のエステ,東京都,品川,なし,なし,あり,なし
カノネコ (旧もしも彼女が黒猫だったら),東京都,品川,なし,なし,あり,なし
ノクターンスパ (Nocturne Spa),東京都,品川,なし,なし,あり,なし
RHEA SPA (レアスパ),東京都,品川,なし,なし,あり,なし
Aroma Jewels 東新宿ルーム,東京都,東新宿,なし,なし,あり,あり
Aroma Modeste (アロマモデスト),東京都,東新宿,なし,なし,あり,あり
メンズエステ コル・カロリ 東新宿店,東京都,東新宿,あり,なし,なし,あり
Dejavu TOKYO (デジャヴ東京) 東新宿店,東京都,東新宿,あり,なし,なし,あり
玉楼,東京都,東新宿,なし,なし,あり,なし
小悪魔スパトウキョウ 東新宿ルーム,東京都,東新宿,なし,なし,あり,なし
Limited Spa (リミテッドスパ),東京都,東新宿,なし,なし,あり,なし
ONE ROOM (ワンルーム) 東新宿店,東京都,東新宿,あり,なし,なし,あり
ピーチネクスト 東新宿ルーム,東京都,東新宿,なし,なし,あり,あり
PLATINUM TOKYO 東新宿店,東京都,東新宿,あり,なし,なし,あり
SALON BLANCA (サロンブランカ) 東新宿店,東京都,東新宿,あり,なし,なし,あり
Sweet Mist (スイートミスト) 東新宿店,東京都,東新宿,あり,なし,なし,あり
Tokyo Aroma Este (東京アロマエステ) 東新宿店,東京都,東新宿,あり,なし,なし,あり
東京メンズエステ 東新宿ルーム,東京都,東新宿,なし,なし,あり,なし
be-majo (ビマージョ) 市ヶ谷,東京都,市ヶ谷,なし,なし,あり,なし
THE★GIN (ザギン) 市ヶ谷店,東京都,市ヶ谷,なし,なし,あり,あり
Aroma Modeste (アロマモデスト) 歌舞伎町店,東京都,歌舞伎町,あり,なし,なし,あり
AromaCharm (アロマチャーム),東京都,歌舞伎町,あり,なし,あり,あり
AROMA more (アロマモア),東京都,六本木,なし,なし,あり,あり
D-SPA (ディースパ),東京都,歌舞伎町,あり,なし,なし,あり
FioreSpa (フィオーレスパ),東京都,歌舞伎町,なし,なし,あり,あり
SALON BLANCA (サロンブランカ) 歌舞伎町店,東京都,歌舞伎町,あり,なし,なし,あり
AROMAntic (アロマンティック),東京都,神楽坂,なし,なし,あり,なし
NATURAL (神楽坂店),東京都,神楽坂,なし,なし,あり,あり
Zexterior (旧アンビエンス) 神楽坂店,東京都,神楽坂,あり,なし,なし,あり
Aroma Jewels 西新宿ルーム,東京都,西新宿,なし,なし,あり,あり
メンズエステ コル・カロリ 西新宿店,東京都,西新宿,あり,なし,なし,あり
小悪魔スパトウキョウ 西新宿ルーム,東京都,西新宿,なし,なし,あり,なし
PLATINUM TOKYO 西新宿店,東京都,西新宿,あり,なし,なし,あり
SALON BLANCA (サロンブランカ) 西新宿店,東京都,西新宿,あり,なし,なし,あり
Tokyo Aroma Este (東京アロマエステ) 西新宿店,東京都,西新宿,あり,なし,なし,あり
東京メンズエステ 西新宿ルーム,東京都,西新宿,なし,なし,あり,なし
Yuni Spa (ユニスパ),東京都,西新宿,なし,なし,あり,なし
クラリスDAO,東京都,大久保,なし,なし,あり,なし
ELTERAS TOKYO (エルテラス),東京都,大久保,なし,なし,あり,あり
Limited Spa (リミテッドスパ),東京都,大久保,なし,なし,あり,なし
ONE ROOM (ワンルーム) 大久保店,東京都,大久保,あり,なし,なし,あり
PLATINUM TOKYO 大久保店,東京都,大久保,あり,なし,なし,あり
Rise～リゼ～ 大久保店,東京都,大久保,なし,なし,あり,なし
A5 SPA (エーゴスパ),東京都,新宿,なし,なし,あり,なし
