shop_id,shop_name,group_id
tokyo_shinjuku_shinjuku_gyoen_rise,Rise～リゼ～ 新宿御苑店,g_c031ba03
tokyo_shinjuku_shinjuku_gyoen_tokyopla,トキョプラ 旧T+Plus (ティープラス) 新宿,g_85440e18
tokyo_shinjuku_shinjuku_sanchome_aroma_tiamo,AROMA TIAMO (アロマティアーモ) 新宿三丁目店,g_50fb8634
tokyo_shinjuku_shinjuku_sanchome_queens_collection,QUEEN'S COLLECTION 新宿三丁目ルーム,g_21a53359
tokyo_shinjuku_shinjuku_sanchome_rise,Rise～リゼ～ 新宿三丁目店,g_e2465c0a
tokyo_shinjuku_shinjuku_sanchome_tokyo_mensesthe,東京メンズエステ 新宿三丁目ルーム,g_cbf749e8
tokyo_shinjuku_shinjuku_sanchome_tokyopla,トキョプラ 旧T+Plus (ティープラス) 新宿,g_760bd4af
tokyo_shinjuku_takadanobaba_aroma-mrs,AROMA MRS,g_10e1e0dc
tokyo_shinjuku_takadanobaba_cozy,Cozy（コーズィー）,g_edb228b8
tokyo_shinjuku_takadanobaba_evergreen,everGreen,g_882d453e
tokyo_shinjuku_takadanobaba_felix,felix（フェリックス）,g_cef81379
tokyo_shinjuku_takadanobaba_grand-chariot,GRAND CHARIOT,g_33371a1f
tokyo_shinjuku_takadanobaba_rs-spa,R.sスパ,g_ba2df18d
tokyo_shinjuku_yotsuya_e_komachi,E小町 (いいこまち),g_c3ced35e
tokyo_suginami_ogikubo_a-laise,a laise,g_ce54717b
tokyo_suginami_ogikubo_crest_spa_tokyo,CREST SPA TOKYO (クレストスパ),g_c15147e2
tokyo_suginami_ogikubo_mens_esthe_jj,メンズエステJJ,g_3144cae5
tokyo_tachikawa_tachikawa_gladol-spa,ぐらどるスパ,g_19acb644
tokyo_taito_ueno_tokyo-luxury,東京ラグジュアリー（旧ビジョスパ）,g_9458e109
tokyo_toshima_ikebukuro_anemone,Anemone (アネモネ),g_9fa324d5
tokyo_toshima_ikebukuro_aroma_resort,アロマリゾート (旧昭和倶楽部),g_91b39012
tokyo_toshima_ikebukuro_aroma_tiamo,AROMA TIAMO (アロマティアーモ) 池袋店,g_0832e93e
tokyo_toshima_ikebukuro_b_sera_kiwami,美・セラ極～KIWAMI～,g_e5abf02d
tokyo_toshima_ikebukuro_cachette,カシェット (旧紳士のエステ),g_1a5120b4
tokyo_toshima_ikebukuro_eternal,Eternal (エターナル) 池袋,g_01d451ec
tokyo_toshima_ikebukuro_le_reve_ck,ルレーヴ (Le Reve CK),g_ab3b3e21
tokyo_toshima_ikebukuro_mens_pastime_ikebukuro,メンズパスタイム（旧アルパカの想い）,g_498e98c2
tokyo_toshima_ikebukuro_muchimuchi_onesan,むちむちお姉さん,g_2156f369
tokyo_toshima_ikebukuro_otonatic,OTONA TIC (オトナチック),g_69839d66
tokyo_toshima_ikebukuro_otonazyoshi,おとな女子,g_f0343cdb
tokyo_toshima_ikebukuro_tokyo-fairy-land,東京フェアリーランド,g_6d7cbff7
tokyo_toshima_ikebukuro_tokyo_mensesthe,東京メンズエステ 池袋ルーム,g_93701125
tokyo_toshima_otsuka_amaryllis,アマリリス,g_389dad6c
tokyo_toshima_otsuka_otsuka_mg,大塚メンズエステMG,g_50d99c98
tokyo_toshima_sugamo_ulrare_sugamo,ウルレア巣鴨（旧リベア）,g_ebfb3e37
