id,name,therapist_count,therapists_sample
tokyo_minato_shinbashi_the_salon,The Salon (ザ・サロン新橋店),100,the_salon_ぴの
60212,Aroma Blossom (田町店),177,unknown_月音きょうか
tokyo_mitaka_aroma_ella,Aroma ELLA (アロマエラ 三鷹店),32,aroma_ella_青葉りんか
tokyo_mitaka_esthe_bijin_madam,エステ美人マダム 三鷹店,26,esthe_bijin_madam_1
tokyo_musashino_kichijoji_aroma_charmant,Aroma charmant (アロマシャルマント),26,aroma_charmant_まな
tokyo_musashino_kichijoji_esthe_bijin_madam,エステ美人マダム 三鷹店,26,esthe_bijin_madam_1
tokyo_musashino_kichijoji_kami_kichijoji,神のエステ 吉祥寺店,66,kami_kichijoji_まとい
tokyo_musashino_kichijoji_yorimichi,よりみち (Yorimichi) (旧いごこち),116,yorimichi_三石いのり
tokyo_nakano_red_ribbon,RED RIBBON (レッドリボン),64,red_ribbon_はに (SILVER)
tokyo_nerima_nerima_around_forty,アラウンドフォーティー,31,around_forty_さくら
tokyo_nerima_nerima_cannele,Cannele (カヌレ),35,cannele_ゆりな
tokyo_nerima_nerima_kami_no_esthe_nerima,神のエステ 練馬店,345,kami_no_esthe_nerima_まつり
tokyo_nerima_nerima_mens_esthe_group,メンエスグループ,113,mens_esthe_group_れな
tokyo_nerima_nerima_xenispa,ゼニスパ,77,xenispa_天使 のあ
tokyo_nerima_oizumigakuen_select,セレクト (SELECT),21,select_ゆずき
tokyo_ota_kamata_livspa,LIVSPA (リブスパ),27,livspa_深澤まき
tokyo_ota_kamata_pepe_spa,Pepe Spa (ペペスパ),47,pepe_spa_宇宙　さき
tokyo_setagaya_chitose_karasuyama_reve_spa,REVE SPA (レーヴスパ),38,reve_spa_畑野ゆず
tokyo_setagaya_chitose_karasuyama_unison_spa,ユニゾンスパ (千歳烏山店),106,unison_spa_小泉 ゆめ
tokyo_setagaya_futakotamagawa_jesse,Jesse (ジェシー 二子玉川店),60,jesse_あいり
tokyo_setagaya_futakotamagawa_menes_group,メンエスグループ 二子玉川,100,menes_group_かのん
tokyo_setagaya_futakotamagawa_mens_esthe_group,メンエスグループ,113,mens_esthe_group_れな
60204,Eren (経堂ルーム),5,unknown_涼宮ひとみ
tokyo_setagaya_meidaimae_reve_spa,REVE SPA (レーヴスパ),38,reve_spa_畑野ゆず
60203,LINDA SPA (三軒茶屋店),86,unknown_牧村くれは
60201,Eren (下北沢ルーム),5,unknown_涼宮ひとみ
60202,UraSanEsu (下北沢店),16,unknown_三浦みさと
60205,Eren (祖師谷大蔵ルーム),5,unknown_涼宮ひとみ
60327,ANAICHI (アナイチ),50,unknown_南野いおり
60351,Aroma Blanca (アロマブランカ),50,unknown_しらさき
60341,Aroma Blossom (恵比寿店),177,unknown_月音きょうか
60334,Aroma Miely (アロマミエリー),50,unknown_水川なつき
60343,AROMA TIAMO (アロマティアモ),67,unknown_宮田 かすみ(22)
60358,Belle É (ベルエ),31,unknown_綾瀬 ひかる
60347,Belle Lily (ベルリリィ),62,unknown_佐野 まりん(24)
60353,GRANMATOM (グランマトム),43,unknown_るな
60336,神のエステ,19,unknown_ディオール
60338,LINDA SPA (恵比寿店),185,unknown_牧村くれは
60361,MINERVA (ミネルバ),53,unknown_愛沢みみ
60349,NAOMI SPA (ナオミスパ),54,unknown_片桐ひめか (18)
60329,THE HALF (ザ・ハーフ),50,unknown_舞浜まりの
60364,SPA Real (スパレアル),46,unknown_優木 なお (19)
60319,Poonys (プーニーズ),9,unknown_みく
60324,Chocolate (代々木ルーム),6,unknown_白石 ゆな
60321,Aroma Levante (代々木ルーム),43,unknown_代々木ここ
60309,Gloria (グロリア),15,unknown_みさ
60318,極楽エステ,12,unknown_あおい
tokyo_shibuya_yoyogi_harajuku_kaminoesthe,Kamino Esthe (渋谷店),134,kaminoesthe_ゆゆ
60307,LugarTOKYO (代々木店),41,unknown_佐々木まおみ
60320,NATURAL (代々木店),59,unknown_水野まほ
60306,温故知新 (旧ユアタイム),14,unknown_笠谷
60313,六本木メンズエステ,55,unknown_みあ
60316,Silk (シルク),23,unknown_森 かれん
60315,Spa Ytree (ワイツリー),58,unknown_しおん
60308,Sugar Spa (シュガースパ),8,unknown_柏木 みこと
60322,UraSanEsu (ウラサネス),16,unknown_三浦みさと
tokyo_shinagawa_gotanda_aroma_rejina,Aroma Rejina (アロマレジーナ) 五反田,8,aroma_rejina_長澤 まゆ
60242,LugarTOKYO (五反田店),41,unknown_佐々木まおみ
tokyo_shinagawa_gotanda_lunabelle,Aroma Lunabelle (五反田店),57,aroma_lunabelle_夏目れいな
tokyo_shinagawa_gotanda_yuru_spa,ゆるスパ 五反田店,27,yuru_spa_胡桃もえ
60236,Esthe Spa (エステスパ),46,unknown_一ノ瀬ことみ
60235,LINDA SPA (目黒店),185,unknown_牧村くれは
60237,Aroma Blossom (大崎店),177,unknown_月音きょうか
60269,NATURAL (神楽坂店),59,unknown_水野まほ
tokyo_shinjuku_okubo_elteras,ELTERAS TOKYO (エルテラス),217,elteras_真白凛
tokyo_shinjuku_shinjuku_aroma_laluna,Aroma LaLuna (アロマラルーナ),118,aroma_laluna_咲蔵ゆうひ
tokyo_shinjuku_shinjuku_first,First (ファースト) 新宿店,36,first_辻せりな
60284,LugarTOKYO (新宿店),41,unknown_佐々木まおみ
tokyo_shinjuku_shinjuku_lunabelle,Aroma Lunabelle (新宿店),57,aroma_lunabelle_夏目れいな
tokyo_shinjuku_shinjuku_natural_organic_spa,Natural Organic Spa (ナチュラルオーガニックスパ),84,natural_organic_spa_すみれ
60254,Aroma Levante (新宿ルーム),43,unknown_代々木ここ
60255,Chocolate (新宿ルーム),6,unknown_白石 ゆな
60251,NATURAL (新宿御苑店),59,unknown_水野まほ
60252,Tokyo Panic (トウキョウパニック),50,unknown_瀬戸内えりか
60249,Chocolate (新大久保ルーム),6,unknown_白石 ゆな
60250,NATURAL (新大久保店),59,unknown_水野まほ
tokyo_shinjuku_takadanobaba_chat_noir,Chat noir (シャノワール),103,chat_noir_四ノ宮詩乃
tokyo_shinjuku_yotsuya_sanchome_e_komachi,四ツ谷メンズエステ E小町 四谷三丁目店,90,e_komachi_早乙女 なお
tokyo_suginami_koenji_spa_flame,スパフレイム (Spa Flame),50,spa_flame_くみ (新人)
tokyo_suginami_ogikubo_aroma_charmant,Aroma charmant (アロマシャルマント),26,aroma_charmant_まな
tokyo_suginami_ogikubo_crest_spa_tokyo,CREST SPA TOKYO (クレストスパ),44,crest_spa_tokyo_ゆう
tokyo_suginami_ogikubo_yorimichi,よりみち (Yorimichi) (旧いごこち),116,yorimichi_三石いのり
tokyo_sumida_kinshicho_aroma_cura,Aroma Cura (アロマクラ),31,aroma_cura_田中 ももこ
tokyo_sumida_kinshicho_kaminoesthe_kinshicho,神のエステ 錦糸町・亀戸店,149,kaminoesthe_kinshicho_さら
tokyo_sumida_kinshicho_wife_collection,ワイフコレクション,270,wife_collection_冴木 もえ
tokyo_sumida_ryougoku_otonaspa_kutsurogi,大人スパ くつろぎ 両国,11,otonaspa_kutsurogi_藤咲(ふじさき)
tokyo_tachikawa_crest_spa_tokyo,CREST SPA TOKYO (クレストスパ),44,crest_spa_tokyo_ゆう
tokyo_tachikawa_disini,Disini (ディシニ),53,disini_鎌田
tokyo_tachikawa_morganite,MORGANITE (モルガナイト),24,morganite_佐伯もも
tokyo_tachikawa_rabbit_spa,ラビットスパ (Rabbit Spa) 立川店,71,rabbit_spa_いちか
tokyo_taito_asakusabashi_assouplir,Assouplir (アスプリー浅草橋店),57,assouplir_上原るみ
tokyo_taito_asakusabashi_weal,Weal (ウィール浅草橋店),41,weal_椎名ななせ
tokyo_taito_ueno_aroma_rejina,Aroma Rejina (アロマレジーナ) 上野,8,aroma_rejina_長澤 まゆ
tokyo_taito_ueno_iyashinokuukan_annex,癒しの空間 Annex,7,iyashinokuukan_annex_星川 あい
tokyo_taito_ueno_ueno_luxury,Ueno Luxury (上野ラグジュアリー),8,ueno_luxury_新垣 あい
tokyo_tama_seisekisakuragaoka_trendy_spa,TRENDY SPA (聖蹟桜ヶ丘店),25,trendy_spa_真宮 ひかる
tokyo_tama_tamacenter_trendy_spa,TRENDY SPA (多摩センター店),25,trendy_spa_真宮 ひかる
tokyo_toshima_ikebukuro_fever,,53,fever_本田もえ
60303,NATURAL (池袋店),59,unknown_水野まほ
60298,Tokyo Fairy Land (東京フェアリーランド),52,unknown_りな
tokyo_toshima_sugamo_ulrare_sugamo,ウルレア巣鴨（旧リベア）,2,[object Object]
