id,name,therapist_count,therapists_sample
1208,ピンキーグラッツェ小倉,36,1208_1208-1
1207_1,MOTHERS (マザーズ),24,1207_1_1207-57
1189_1,Kobe Eslino (神戸エスリノ),100,1189_1_1189-1
1191_1,Mrs.melty (ミセスメルティー),94,1191_1_1191-1
1189_2,Kobe Eslino (神戸エスリノ),100,1189_2_1189-1
1187,ミセスムーンR 兵庫,98,1187_1187-1
1193_1,MRS.TENOR (ミセステノール),72,1193_1_1193-1
1189,Kobe Eslino (神戸エスリノ),100,1189_1189-1
1192,10ct RESORT (テンカラットリゾート),36,1192_1192-1
1190,KOBE QUEEN (コウベクイーン),63,1190_1190-1
1188,lemonade (レモネード) 神戸,100,1188_1188-1
1191,Mrs.melty (ミセスメルティー),94,1191_1191-1
1193,MRS.TENOR (ミセステノール),72,1193_1193-1
77411,doigt de fee (ドゥワドフェ),115,77404-iritani-moka
1145,ラビットスパ (Rabbit Spa) 横浜店,203,1145_1145-1
1148,THE BLANC (ザブラン),38,1148_1148-1
1151,Guarigione (グアリジョーネ),156,1151_1151-1
1158,リオラ (旧マリラ),61,1158_1158-1
1050,Pepe Spa (ペペスパ),47,1050_1050-1
1146,オトナコード4030 (旧オトナクチュール),51,1146_1146-1
1042,レッドアイ (Red Eye),113,1042_1042-1
1145,ラビットスパ (Rabbit Spa) 横浜店,203,1145_1145-1
1145,ラビットスパ (Rabbit Spa) 横浜店,203,1145_1145-1
1146,オトナコード4030 (旧オトナクチュール),51,1146_1146-1
1151,Guarigione (グアリジョーネ),156,1151_1151-1
1158,リオラ (旧マリラ),61,1158_1158-1
1146,オトナコード4030 (旧オトナクチュール),51,1146_1146-1
1145,ラビットスパ (Rabbit Spa) 横浜店,203,1145_1145-1
1148,THE BLANC (ザブラン),38,1148_1148-1
1144,ゆるスパ横浜店,63,1144_1144-1
1152,アプローチ 川崎店 (旧らんぷ新川崎),38,1152_1152-1
1153,DEEP ESSENTIAL (ディープエッセンシャル) 川崎,27,1153_1153-1
1154,Fromage (フロマージュ),32,1154_1154-1
1157,GOLD (ゴールド) 川崎・溝の口,72,1157_1157-1
1151,Guarigione (グアリジョーネ),156,1151_1151-1
77404,doigt de fee (ドゥワドフェ),115,77404-iritani-moka
1155,LIVSPA (リブスパ),27,1155_1155-1
77408,doigt de fee (ドゥワドフェ),115,77404-iritani-moka
77410,doigt de fee (ドゥワドフェ),115,77404-iritani-moka
77407,doigt de fee (ドゥワドフェ),115,77404-iritani-moka
77479,Ho・O・Zu・Ki・SPA (ホオズキスパ),94,77479-sawa-aiko
77409,doigt de fee (ドゥワドフェ),115,77404-iritani-moka
1156,RERE GROUP (リリグループ),27,1156_1156-1
1150,川崎メンズエステ RiRe (リル),50,1150_1150-1
1157,GOLD (ゴールド) 川崎・溝の口,72,1157_1157-1
1042,レッドアイ (Red Eye),113,1042_1042-1
1159,Agu (アグ) 武蔵小杉,57,1159_1159-1
1039,Aroma ELLA (アロマエラ),32,1039_1039-1
1161,ベッドオブローゼス（Bed of Roses） 旧スリーピングシープ,42,1161_1161-1
1145,ラビットスパ (Rabbit Spa) 横浜店,203,1145_1145-1
1156,RERE GROUP (リリグループ),27,1156_1156-1
1160,武蔵小杉 ROYCE (ロイス),36,1160_1160-1
1042,レッドアイ (Red Eye),113,1042_1042-1
1145,ラビットスパ (Rabbit Spa) 横浜店,203,1145_1145-1
1151,Guarigione (グアリジョーネ),156,1151_1151-1
1144,ゆるスパ横浜店,63,1144_1144-1
1042,レッドアイ (Red Eye),113,1042_1042-1
1156,RERE GROUP (リリグループ),27,1156_1156-1
1149,Marine (マリン) 横浜,60,1149_1149-1
1151,Guarigione (グアリジョーネ),156,1151_1151-1
1158,リオラ (旧マリラ),61,1158_1158-1
1146,オトナコード4030 (旧オトナクチュール),51,1146_1146-1
1145,ラビットスパ (Rabbit Spa) 横浜店,203,1145_1145-1
1148,THE BLANC (ザブラン),38,1148_1148-1
1147,ワイプライム (旧ワイプラ),41,1147_1147-1
1186_1,Pure White (ピュアホワイト),59,1186_1_1186-1
1186_3,Pure White (ピュアホワイト),59,1186_3_1186-1
1185,クイーンズプレミアム 旧グラマー,35,1185_1185-1
1184_3,ゆりかご 京都,60,1184_3_1184-1
1186,Pure White (ピュアホワイト),59,1186_1186-1
1186_2,Pure White (ピュアホワイト),59,1186_2_1186-1
1184_2,ゆりかご 京都,60,1184_2_1184-1
1196,ARENA SPA (アリーナスパ),49,1196_1196-1
1197,AROMA No5 (アロマファイブ) 仙台,34,1197_1197-1
1198,Aroma Rich (アロマリッチ) 仙台,26,1198_1198-1
1202,Cuaura (クオーラ),20,1202_1202-1
1201,ONE time (ワンタイム),22,1201_1201-1
1200,Platonic SPA (プラトニックスパ),53,1200_1200-1
1195,Pulunt (プルント),53,1195_1195-1
1199,SHIZUKU SPA (雫スパ),50,1199_1199-1
1068,美魔女セラピー大阪,164,1068_1068-1
1118,セレブスパプレミアム,62,1118_1118-1
1110,原価屋,86,1110_1110-1
1067,ダーリンプレミアム,111,1067_1067-1
1069,La vie et (ラヴィエ),92,1069_1069-1
1082,もくきん堂,90,1082_1082-1
1082,もくきん堂,90,1082_1082-1
1109,ベルマドンナ (旧ベラドンナ),153,1109_1109-1
1118,セレブスパプレミアム,62,1118_1118-1
1085,ミセスの子守唄,103,1085_1085-1
1082,もくきん堂,90,1082_1082-1
1073,僕のママスパ,74,1073_1073-1
1111,スーパーハッピーガールズ (SUPER HAPPY GIRLS),42,1111_1111-1
1105,タマネギ 大阪,61,1105_1105-1
1104,和いふらいん 大阪,83,1104_1104-1
1089,和いふらいん 大阪,83,1089_1089-1
1075,ビューティーアンドビースト,121,1075_1075-1
1067,ダーリンプレミアム,111,1067_1067-1
1069,La vie et (ラヴィエ),92,1069_1069-1
1081,ムフフフットケアセンター,32,1081_1081-1
1109,ベルマドンナ (旧ベラドンナ),153,1109_1109-1
1065,うさぎのお部屋,94,1065_1065-1
1118,セレブスパプレミアム,62,1118_1118-1
1107,DSP,56,1107_1107-1
1066,FIRST CLASS (ファーストクラス) 大阪,83,1066_1066-1
1115,Furyu 風流 (フウリュウ),59,1115_1115-1
1114,隠れ家~大人の癒し空間~,36,1114_1114-1
1116,マ・ジ・メSPA（マジメスパ）,78,1116_1116-1
1107,DSP,56,1107_1107-1
1094,LIRICA OSAKA (リリカ大阪),68,1094_1094-1
1068,美魔女セラピー大阪,164,1068_1068-1
1114,隠れ家~大人の癒し空間~,36,1114_1114-1
1112,FROG SPA (フロッグスパ),92,1112_1112-1
1113,Skit (スキット),45,1113_1113-1
1095,ミセスあまおうセラピ 旧ミセスマドンナ,36,1095_1095-1
1068,美魔女セラピー大阪,164,1068_1068-1
1096,Queen Spumante (クイーンスプマンテ),24,1096_1096-1
1066,FIRST CLASS (ファーストクラス) 大阪,83,1066_1066-1
1107,DSP,56,1107_1107-1
1066,FIRST CLASS (ファーストクラス) 大阪,83,1066_1066-1
1101,LEON SPA Gold (レオンスパゴールド),96,1101_1101-1
1100,ミセス美オーラ,190,1100_1100-1
1095,ミセスあまおうセラピ 旧ミセスマドンナ,36,1095_1095-1
1071,アロマワン,80,1071_1071-1
1109,ベルマドンナ (旧ベラドンナ),153,1109_1109-1
1068,美魔女セラピー大阪,164,1068_1068-1
1065,うさぎのお部屋,94,1065_1065-1
1118,セレブスパプレミアム,62,1118_1118-1
1092,C.r.e.a.m (クリーム),56,1092_1092-1
1107,DSP,56,1107_1107-1
1078,イーエスドールプレミアム,59,1078_1078-1
1066,FIRST CLASS (ファーストクラス) 大阪,83,1066_1066-1
1106,マダムと紳士,49,1106_1106-1
1116,マ・ジ・メSPA（マジメスパ）,78,1116_1116-1
1097,milk tea (ミルクティー),49,1097_1097-1
1087,ミセスムーンR 大阪,99,1087_1087-1
1108,俺の家,113,1108_1108-1
1099,Sanando (サナンド),41,1099_1099-1
1113,Skit (スキット),45,1113_1113-1
1091,SEACRET ROOM ひまわり,66,1091_1091-1
1111,スーパーハッピーガールズ (SUPER HAPPY GIRLS),42,1111_1111-1
1093,天上人PREMIUM,50,1093_1093-1
1109,ベルマドンナ (旧ベラドンナ),153,1109_1109-1
1118,セレブスパプレミアム,62,1118_1118-1
1082,もくきん堂,90,1082_1082-1
1109,ベルマドンナ (旧ベラドンナ),153,1109_1109-1
1065,うさぎのお部屋,94,1065_1065-1
1118,セレブスパプレミアム,62,1118_1118-1
1085,ミセスの子守唄,103,1085_1085-1
1103,LEON SPA (レオンスパ),41,1103_1103-1
1101,LEON SPA Gold (レオンスパゴールド),96,1101_1101-1
1087,ミセスムーンR 大阪,99,1087_1087-1
1076,SEACRET ROOM ひまわり,66,1076_1076-1
1095,ミセスあまおうセラピ 旧ミセスマドンナ,36,1095_1095-1
1109,ベルマドンナ (旧ベラドンナ),153,1109_1109-1
1068,美魔女セラピー大阪,164,1068_1068-1
1118,セレブスパプレミアム,62,1118_1118-1
1092,C.r.e.a.m (クリーム),56,1092_1092-1
1107,DSP,56,1107_1107-1
1078,イーエスドールプレミアム,59,1078_1078-1
1066,FIRST CLASS (ファーストクラス) 大阪,83,1066_1066-1
1112,FROG SPA (フロッグスパ),92,1112_1112-1
1115,Furyu 風流 (フウリュウ),59,1115_1115-1
1080,GOAT(ゴート) 旧琥珀,23,1080_1080-1
1077,こころのゆりかご 大阪,68,1077_1077-1
1085,ミセスの子守唄,103,1085_1085-1
1094,LIRICA OSAKA (リリカ大阪),68,1094_1094-1
1116,マ・ジ・メSPA（マジメスパ）,78,1116_1116-1
1087,ミセスムーンR 大阪,99,1087_1087-1
1096,Queen Spumante (クイーンスプマンテ),24,1096_1096-1
1113,Skit (スキット),45,1113_1113-1
1098,SPALOT.Mrs (スパロットミセス),49,1098_1098-1
1091,SEACRET ROOM ひまわり,66,1091_1091-1
1105,タマネギ 大阪,61,1105_1105-1
1093,天上人PREMIUM,50,1093_1093-1
1104,和いふらいん 大阪,83,1104_1104-1
1089,和いふらいん 大阪,83,1089_1089-1
1101,LEON SPA Gold (レオンスパゴールド),96,1101_1101-1
1100,ミセス美オーラ,190,1100_1100-1
1109,ベルマドンナ (旧ベラドンナ),153,1109_1109-1
1065,うさぎのお部屋,94,1065_1065-1
1118,セレブスパプレミアム,62,1118_1118-1
1107,DSP,56,1107_1107-1
