id,name,area
tokyo_minato_roppongi_roppongi_mens,六本木メンズエステ,六本木
tokyo_minato_shinbashi_kami_no_esthe_shinbashi,神のエステ 新橋・銀座新富町店 (新橋),新橋
tokyo_minato_shinbashi_lunabelle,Aroma Lunabelle (新橋店),新橋
tokyo_minato_shinbashi_the_salon,The Salon (ザ・サロン新橋店),新橋
60212,Aroma Blossom (田町店),田町
tokyo_minato_tamachi_edel,EDEL AZABU (エデル麻布),田町
tokyo_mitaka_aroma_ella,Aroma ELLA (アロマエラ 三鷹店),三鷹
tokyo_mitaka_esthe_bijin_madam,エステ美人マダム 三鷹店,三鷹
tokyo_musashino_kichijoji_aroma_charmant,Aroma charmant (アロマシャルマント),吉祥寺
tokyo_musashino_kichijoji_esthe_bijin_madam,エステ美人マダム 三鷹店,吉祥寺
tokyo_musashino_kichijoji_kami_kichijoji,神のエステ 吉祥寺店,吉祥寺
tokyo_musashino_kichijoji_yorimichi,よりみち (Yorimichi) (旧いごこち),吉祥寺
tokyo_nakano_golden,ゴールデン（GOLDEN） 旧ガーデン,中野区
tokyo_nakano_levechi_esthe,超レベチなエステ24,中野区
tokyo_nakano_red_ribbon,RED RIBBON (レッドリボン),中野区
tokyo_nerima_nerima_around_forty,アラウンドフォーティー,練馬
tokyo_nerima_nerima_cannele,Cannele (カヌレ),練馬
tokyo_nerima_nerima_kami_no_esthe_nerima,神のエステ 練馬店,練馬
tokyo_nerima_nerima_mens_esthe_group,メンエスグループ,練馬
tokyo_nerima_nerima_xenispa,ゼニスパ,練馬
tokyo_nerima_oizumigakuen_select,セレクト (SELECT),大泉学園
tokyo_ota_kamata_anjuaile,Anjuaile (アンジュエール),蒲田
tokyo_ota_kamata_doigt_de_fee,doigt de fee (ドゥワドフェ),蒲田
tokyo_ota_kamata_gokujou,GOKUJOU 極嬢,蒲田
tokyo_ota_kamata_hoozuki,Ho・O・Zu・Ki・SPA (ホオズキスパ),蒲田
tokyo_ota_kamata_livspa,LIVSPA (リブスパ),蒲田
tokyo_ota_kamata_pepe_spa,Pepe Spa (ペペスパ),蒲田
tokyo_ota_kamata_ryugujo,竜宮城 旧百万石 (蒲田店),蒲田
tokyo_ota_omori_gokujou,GOKUJOU 極嬢,大森
tokyo_ota_omori_hoozuki,Ho・O・Zu・Ki・SPA (ホオズキスパ),大森
tokyo_setagaya_chitose_karasuyama_reve_spa,REVE SPA (レーヴスパ),千歳烏山
tokyo_setagaya_chitose_karasuyama_unison_spa,ユニゾンスパ (千歳烏山店),千歳烏山
tokyo_setagaya_chitose_karasuyama_winning_heaven,WINNING HEAVEN (ウイニングヘブン),千歳烏山
tokyo_setagaya_futakotamagawa_jesse,Jesse (ジェシー 二子玉川店),二子玉川
tokyo_setagaya_futakotamagawa_menes_group,メンエスグループ 二子玉川,二子玉川
